AuthorId,Name,Surname,Birthdate
1,ΔΗΜΗΤΡΙΟΣ Γ,ΔΑΣΚΑΛΟΠΟΥΛΟΣ,1970
2,ΒΑΣΙΛΗΣ,ΤΣΙΑΝΤΟΣ,1944
3,ΓΕΩΡΓΙΟΣ Ι.,ΚΑΡΑΜΠΑΤΖΟΣ,1971
4,MURRAY R.,SPIEGEL,1971
5,Ανδρέας Γ.,Αθανασιάδης,1968
6,ΣΠΥΡΟΣ ΓΙ,ΤΖΑΦΕΣΤΑΣ,1973
7,FRANK,AYRES,1968
8,RONALD E,GRAHAM,1939
9,ΕΥΑΓΓΕΛΟΣ Ν.,ΓΑΖΗΣ,1934
10,ALLAN,GREENWOOD,1977
11,ΔΙΔΩ,ΓΙΟΒΑ,1945
12,LÜTH,HANS,1963
13,HUGH D,YOUNG,1931
14,MICHAEL R,BARNETT,1956
15,ΠΑΝΑΓΙΩΤΗΣ Φ.,ΜΟΙΡΑΣ,1972
16,ΓΙΑΝΝΗΣ,ΓΚΑΡΟΥΤΣΟΣ,1970
17,Ε Ν,ΟΙΚΟΝΟΜΟΥ,1945
18,Νίκος,Παταργιάς,1931
19,H J,PAIN,1943
20,Κ,ΠΑΠΑΔΟΠΟΥΛΟΣ,1962
21,Κ,ΧΡΙΣΤΟΔΟΥΛΙΔΗΣ,1945
22,EDWARD M,PURCELL,1938
23,FRANK .S CRAWFORD,JR.,1931
24,,530.41,1958
25,GERALD,HOLTON,1978
26,YOAN D,LANDAU,1976
27,RAYMOND A,SERWAY,1930
28,ΣΠΥΡΟΣ Ν,ΕΥΑΓΓΕΛΟΥ,1978
29,ROBERT,SEDGEWICK,1930
30,JOHN G,PROAKIS,1959
31,Θ Α,ΘΕΟΧΑΡΗΣ,1937
32,BRUNO,PREISS,1965
33,P.,HAVALDAR,1970
34,Γ,ΚΑΡΑΓΙΑΝΝΗΣ,1932
35,NIKLAUS,WIRTH,1958
36,Φ.,ΑΦΡΑΤΗ,1968
37,JEFF,EDMONDS,1966
38,ΣΤΑΘΗΣ,ΖΑΧΟΣ,1969
39,SARTAJ,SAHNI,1944
40,Α Σ,TANENBAUM,1960
41,ANDREW S,TANENBAUM,1962
42,PETER B,GALVIN,1960
43,ΝΙΚΟΣ,ΚΑΛΟΥΠΤΣΙΔΗΣ,1949
44,ALAN V,OPPENHEIM,1961
45,ΝΙΚΟΛΑΟΣ Φ.,ΒΟΥΔΟΥΚΗΣ,1965
46,Ι Ν,ΛΥΓΟΥΡΑΣ,1953
47,ΙΩΑΝΝΗΣ Ν,ΑΒΑΡΙΤΣΙΩΤΗΣ,1970
48,JOHN,WILSON,1962
49,,ΣΕΡΑΦΕΤΙΝΙΔΗΣ,1935
50,JACOB,MILLMAN,1933
51,Ν,ΟΥΖΟΥΝΟΓΛΟΥ,1960
52,ΧΡΗΣΤΟΣ,ΧΑΛΚΙΑΣ,1964
53,ALBERT P,MALVINO,1963
54,MILTON,KAUFMAN,1974
55,RICHARD,JAEGER,1972
56,Ι. Μ.,ΚΟΝΤΟΛΕΟΝΤΟΣ,1953
57,ANTHONY,GIDDENS,1951
58,JEREMY,CAMPBELL,1942
59,ΠΑΝΤΕΛΗΣ,ΑΓΓΕΛΙΔΗΣ,1956
60,STAN,GIBILISCO,1968
61,,920,1936
62,ΝΕΚΤΑΡΙΟΣ,ΚΟΖΥΡΗΣ,1943
63,ΓΡΗΓΟΡΗΣ,ΜΕΝΤΖΑΣ,1975
64,FRANK JR J,DERFLER,1940
65,,621.381,1946
66,STAN,SCHATT,1952
67,ΣΠΥΡΟΣ,ΠΑΝΕΤΣΟΣ,1956
68,LARRY L.,PETERSON,1945
69,Κ.,ΜΑΡΙΝΑΚΗΣ,1971
70,ΗΡΑΚΛΗΣ,ΑΒΡΑΜΟΠΟΥΛΟΣ,1972
71,ΑΡΗΣ,ΑΛΕΞΟΠΟΥΛΟΣ,1979
72,MICHEL,CARPENTIER,1932
73,,ΕΜΠ,1953
74,ΧΡΗΣΤΟΣ Ν,ΚΑΨΑΛΗΣ,1951
75,ΦΙΛΙΠΠΟΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ,1965
76,Γ Ι,ΤΣΑΜΑΣΦΥΡΟΣ,1971
