isbn,title,pages,year,publisher,LibraryName,author
101-1312-2133,ΑΝΩΤΕΡΑ ΜΑΘΗΜΑΤΙΚΑ ΙΙΙ : Λογισμός Πολλών Μεταβλητών,1117,1994,Εκδοτικός Οίκος Μαθηματικών,NTUA,ΔΗΜΗΤΡΙΟΣ Γ ΔΑΣΚΑΛΟΠΟΥΛΟΣ
960-418-059-2,ΑΝΩΤΕΡΑ ΜΑΘΗΜΑΤΙΚΑ για Μηχανικούς,972,2005,Εκδοτικός Οίκος Μαθηματικών,NTUA,ΒΑΣΙΛΗΣ ΤΣΙΑΝΤΟΣ
101-1312-4486,ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ,1323,2004,Εκδοτικός Οίκος Μαθηματικών,NTUA,ΓΕΩΡΓΙΟΣ Ι. ΚΑΡΑΜΠΑΤΖΟΣ
07-060229-8,ΑΝΩΤΕΡΑ ΜΑΘΗΜΑΤΙΚΑ,1194,1982,Εκδοτικός Οίκος Μαθηματικών,NTUA,MURRAY R. SPIEGEL
960-8129-06-0,ΑΝΩΤΕΡΑ ΜΑΘΗΜΑΤΙΚΑ ΙΙ για Μηχανικούς,1296,2001,Εκδοτικός Οίκος Μαθηματικών,NTUA,Ανδρέας Γ. Αθανασιάδης
101-1312-2179,ΕΦΗΡΜΟΣΜΕΝΑ ΜΑΘΗΜΑΤΙΚΑ,1397,1994,Εκδοτικός Οίκος Μαθηματικών,NTUA,ΣΠΥΡΟΣ ΓΙ ΤΖΑΦΕΣΤΑΣ
07-0022653-X,ΓΕΝΙΚΑ ΜΑΘΗΜΑΤΙΚΑ,739,1983,Εκδοτικός Οίκος Μαθηματικών,NTUA,FRANK AYRES
960-418-087-8,SCHAUM : ΑΝΩΤΕΡΑ ΜΑΘΗΜΑΤΙΚΑ,1193,2002,Εκδοτικός Οίκος Μαθηματικών,NTUA,MURRAY R. SPIEGEL
9789604614486,ΣΥΝΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,491,2011,Εκδοτικός Οίκος Μαθηματικών,NTUA,RONALD E GRAHAM
101-1312-5857,ΕΙΚΟΝΙΚΑ ΕΡΓΑΣΤΗΡΙΑ ΣΥΓΧΡΟΝΗΣ ΦΥΣΙΚΗΣ,664,1999,Εκδοτικός Οίκος Φυσικής,NTUA,ΕΥΑΓΓΕΛΟΣ Ν. ΓΑΖΗΣ
960-7643-18-6,ΕΙΣΑΓΩΓΗ ΣΤΗ ΠΥΡΗΝΙΚΗ ΦΥΣΙΚΗ,968,2002,Εκδοτικός Οίκος Φυσικής,NTUA,ALLAN GREENWOOD
